,title,subtitle,link
0,VAR CRASH,Major VAR change planned that could turn Prem matches into two-hour marathons,https://www.thesun.co.uk/sport/24872887/new-var-rules-premier-league/
1,TRAGIC PASSING,Heartbroken Rashford dedicates Man Utd goal to cousin who 'recently' died,https://www.thesun.co.uk/sport/24875351/marcus-rashford-cousin-death-man-utd-goal-everton/
2,EPIC FALL,I made £40k a WEEK as Premier League star... but now I can't even afford a phone,https://www.thesun.co.uk/sport/24875287/west-ham-lucas-neill-bankrupt-court-hmrc/
3,ON GOAL,Get 40/1 for a shot on target during PSG vs Newcastle in the Champions League,https://www.thesun.co.uk/sport/football/24867040/psg-newcastle-odds-offer-sky-bet/
4,MUM'S PAIN,Maddy Cusack's mum says football 'broke her spirit' as probe into death launched,https://www.thesun.co.uk/sport/24876370/maddy-cusack-spirit-broken-football-sheffield-united-probe/
5,GAR BLIMEY,Garnacho slammed over celebration for wondergoal and told to 'make his own name',https://www.thesun.co.uk/sport/24876103/alejandro-garnacho-celebration-man-utd/
6,'VERY RAW',Terry Venables’ widow comforted by family as thoughts turn to funeral service,https://www.thesun.co.uk/sport/24874668/terry-venables-widow-yvette-funeral-service/
7,TURB0,Win a VW Tiguan R or £30k cash alternative from just 71p with our discount code,https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
8,,Man Utd legend follows Keane as he slams Fernandes as captain choice,https://www.thesun.co.uk/sport/24874724/man-utd-bruno-fernandes-captain-paul-ince/
9,BETTER BEE-LIEVE IT,Brentford chief gives Toney update amid Arsenal and Chelsea interest,https://www.thesun.co.uk/sport/24874881/brentford-transfer-ivan-toney-arsenal-chelsea/
10,REF WATCH,Twelve recently-retired stars sign up to become new referees after Prem issues,https://www.thesun.co.uk/sport/24875699/howard-webb-dozen-referees-ex-pros/
11,FAB £40,Champions League free bets: Get £40 football welcome bonus with Betfred,https://www.thesun.co.uk/sport/19802294/betfred-football-40-bonus-free-bets/
12,DEVILS DELIGHT,Two Man Utd stars spotted going mad in away end after Garnacho wonder goal,https://www.thesun.co.uk/sport/24872535/manchester-united-dan-gore-finley-mcallister-crowd-everton/
13,,Shocked BBC presenter Mark Chapman finds Theo Walcott's Spurs jibe hilarious,https://www.thesun.co.uk/sport/24874621/tottenham-mark-chapman-arsenal-theo-walcott/
14,'TOP TIER',Man Utd fans say 'this would be a dream come true' as summer target is revealed,https://www.thesun.co.uk/sport/24875676/man-utd-fans-summer-transfer-target-antonio-silva/
15,WINGING IT,Spurs step up bid to land forgotten winger who hasn't played for TWO MONTHS,https://www.thesun.co.uk/sport/24874981/tottenham-winger-january-transfer-jota/
16,MAIN MAN,Gary Neville reveals which Man Utd player Guardiola would want in Man City team,https://www.thesun.co.uk/sport/24871685/gary-neville-kobbie-mainoo-manchester-city-pep-guardiola/
17,TALK THE TALK,Major hint Mason Greenwood will stay at Getafe after loan spell ends,https://www.thesun.co.uk/sport/24871032/mason-greenwood-future-spain-getafe-goal-arrest/
18,,Fans hail Ljungberg on Sky Sports as he assesses Arsenal's title hopes,https://www.thesun.co.uk/sport/24875039/freddie-ljungberg-sky-sports-mnf-arsenal/
19,PAY THE PENALTY,Football set for rule change to penalty shootouts and handballs in the box,https://www.thesun.co.uk/sport/24873862/football-rule-changes-var-ifab/
20,YOUNG GUNS,"Arsenal and Man City tracking Danish wonderkid, 15, who could play for ENGLAND",https://www.thesun.co.uk/sport/24870740/arsenal-man-city-england-tristan-aldcroft-panduro/
21,,Prem legend makes pro ice hockey debut at 41 years old after joining champions,https://www.thesun.co.uk/sport/24868774/petr-cech-chelsea-ice-hockey-debut-belfast-giants/
22,NEXT GEN,Arsenal in talks with Genoa defender but face competition from two Prem rivals,https://www.thesun.co.uk/sport/24874056/arsenal-transfer-radu-dragusin-genoa-tottenham-newcastle/
23,WELCOME OFFER,The Sun Play is BACK! Sign up now for the chance to win 500 free spins,https://www.thesun.co.uk/sport/24718401/sun-play-welcome-offer/
24,NOO BOTHER,FA 'confident' Man Utd ace WILL play for England despite chance to switch,https://www.thesun.co.uk/sport/24873286/fa-man-utd-kobbie-mainoo-england-ghana/
25,SHOE ARE YA?,Garnacho nets overhead kick in Ronaldo boots... but legend has NEVER worn them,https://www.thesun.co.uk/sport/24870494/man-utd-alejandro-garnacho-cristiano-ronaldo-boots/
26,CAR CHASE,England's succession plan could be wrecked as new fave for Ireland job emerges,https://www.thesun.co.uk/sport/24870486/republic-of-ireland-next-manager-lee-carsley-bookies-odds/
27,ROL UP,Win a gold Rolex or £27k cash alternative from 58p with our discount code,https://www.thesun.co.uk/sport/18922011/win-rolex-7dp/
28,CRIS ALMIGHTY,Bellingham breaks Ronaldo record as stats show sensational Real Madrid start,https://www.thesun.co.uk/sport/24869024/jude-bellingham-breaks-cristiano-ronaldo-record-real-madrid/
29,WINGING IT,"Ronaldo swapped wings to avoid me, but I only played for my country once",https://www.thesun.co.uk/sport/24871040/royston-drenthe-cristiano-ronaldo-real-madrid-holland/
30,CAM CALL,AC Milan history-maker BANNED from facing Newcastle in Champions League,https://www.thesun.co.uk/sport/24866779/ac-milan-francesco-camarda-banned-newcastle-champions-league/
31,BUMPED OFF,Terry says Benitez tried to get him AXED before Jose call gave him goosebumps,https://www.thesun.co.uk/sport/24867314/john-terry-rafa-benitez-axed-chelsea-jose-mourinho/
32,HE'S A KEEPER,Arsenal 'reject Ramsdale approach from rivals as Chelsea and Bayern circle',https://www.thesun.co.uk/sport/24872269/arsenal-aaron-ramsdale-transfer-chelsea-bayern-munich/
33,GOT HIS BAKK,My dad played in Prem but retired after heart stopped… now I'm making own way,https://www.thesun.co.uk/sport/24867730/stale-markus-solbakken-dad-premier-league-retired-heart/
34,TOT TRUMPS,Tottenham 'line up Uruguay star to solve injury crisis but face competition',https://www.thesun.co.uk/sport/24865591/tottenham-uruguay-sebastian-caceres-transfer-newcastle-villa/
35,BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
36,,Watch Ian Wright’s reaction to last-minute Kai Havertz winner for Arsenal,https://www.thesun.co.uk/sport/24859319/kai-havertz-brentford-goal-ian-wright-reaction/
37,,Alexander-Arnold could face FA disciplinary action after admission in interview,https://www.thesun.co.uk/sport/24859814/trent-alexander-arnold-fa-disciplinary/
38,,Everton fans launch furious protest at Premier League after 10 point deduction,https://www.thesun.co.uk/sport/24861006/everton-10-point-deduction-protest-manchester-united/
39,CARN BELIEVE IT,Keane hailed for reaction to Spurs defeat - but fans distracted by Carney,https://www.thesun.co.uk/sport/24862618/roy-keane-tottenham-spursy-karen-carney-sky-sports/
40,MAN UTD NEWS,"Werner SHOCK transfer, Ratcliffe updates, Garnacho reacts to WONDER GOAL",https://www.thesun.co.uk/sport/24408842/man-utd-takeover-news-live-timo-werner-transfer-updates/
41,GUNNERS LATEST,"Osimhen transfer TWIST, Aaron Ramsdale future latest, Douglas Luiz updates",https://www.thesun.co.uk/sport/24268915/arsenal-news-live-victor-osimhen-transfer-updates/
42,HEN PARTY,Chelsea 'could complete Osimhen transfer in January'... but will cost huge fee,https://www.thesun.co.uk/sport/24871081/chelsea-go-ahead-complete-osimhen-transfer-january-napoli/
43,YOUS-FUL ADDITION,Man Utd 'consider France star as possible Casemiro transfer replacement',https://www.thesun.co.uk/sport/24872403/man-utd-transfer-youssouf-fofana-casemiro-paul-mitchell/
44,LAUR OF ATTRACTION,"Laura Woods' most daring outfits, from lycra shorts to red swimsuit",https://www.thesun.co.uk/sport/24821000/laura-woods-most-daring-outfits-glastonbury-baywatch/
45,BATH TIME,Chelsea legend's daughter goes fully naked as she shares video filmed in bathroom,https://www.thesun.co.uk/sport/24853039/jade-lebouef-frank-instagram-chelsea/
