,title,subtitle,link
0,CAM CALL,AC Milan history-maker BANNED from facing Newcastle in Champions League,https://www.thesun.co.uk/sport/24866779/ac-milan-francesco-camarda-banned-newcastle-champions-league/
1,MADE HER MARC,Utd fans convinced they've found reason Rashford's getting 'back to his best',https://www.thesun.co.uk/sport/24866890/man-utd-marcus-rashford-goal-girlfriend-fans-form/
2,TOT TRUMPS,Tottenham 'line up Uruguay star to solve injury crisis but face competition',https://www.thesun.co.uk/sport/24865591/tottenham-uruguay-sebastian-caceres-transfer-newcastle-villa/
3,ON GOAL,Get 40/1 for a shot on target during PSG vs Newcastle in the Champions League,https://www.thesun.co.uk/sport/football/24867040/psg-newcastle-odds-offer-sky-bet/
4,BRU-NO,Fernandes delivers seven-word snub as he’s asked to hand MOTM award to Garnacho,https://www.thesun.co.uk/sport/24866300/bruno-fernandes-brutual-alejandro-garnacho-kobbie-mainoo/
5,ROY RAGE,Keane blasts 'embarrassing' Ten Hag's praise for Fernandes as 'absolute rubbish',https://www.thesun.co.uk/sport/24865886/roy-keane-ten-hag-fernandes-praise-penalty-man-utd/
6,SPURSY,Tottenham break unwanted Premier League record after dismal defeat to Aston Villa,https://www.thesun.co.uk/sport/24865527/tottenham-premier-league-record-aston-villa-defeat/
7,TURB0,Win a VW Tiguan R or £30k cash alternative from just 71p with our discount code,https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
8,DAVE KIDD,Venables never stopped England fans believing and leaves us with Euro 96 legacy,https://www.thesun.co.uk/sport/24863814/terry-venables-england-euro-96-legacy/
9,,Iconic England manager Terry Venables dies aged 80 after long illness,https://www.thesun.co.uk/sport/24858315/terry-venables-england-manager-dead/
10,,England manager Southgate shares heartwarming tribute to Terry Venables,https://www.thesun.co.uk/sport/24860838/england-manager-gareth-southgate-terry-venables/
11,,Tributes flood in after legendary Euro 96 football coach dies aged 80 ,https://www.thesun.co.uk/sport/24859033/tributes-terry-venables-euro-football-coach/
12,,"Phil Foden's son, 4, signs major modelling deal after gaining 4m followers",https://www.thesun.co.uk/sport/24864139/phil-fodens-son-signs-modelling-deal/
13,NOT KEANE,Roy Keane's savage five-word response to Alejandro Garnacho's overhead kick goal,https://www.thesun.co.uk/sport/24862874/roy-keanes-savage-reponse-alejandro-garnacho-goal-man-utd/
14,SPOT ON,Bruno Fernandes reveals why he passed on penalty-taking duties to Marcus Rashford,https://www.thesun.co.uk/sport/24864447/bruno-fernandes-penalty-marcus-rashford-man-utd-everton/
15,FAB £40,Champions League free bets: Get £40 football welcome bonus with Betfred,https://www.thesun.co.uk/sport/19802294/betfred-football-40-bonus-free-bets/
16,"NO WIN, NO FEE",How Darwin Nunez cost Liverpool extra £8.5m after heated row with Pep,https://www.thesun.co.uk/sport/24866145/liverpool-benfica-transfer-payment-darwin-nunez-guardiola-man-city/
17,FLOP GUNN,Forgotten Arsenal star deletes social media accounts after being axed from squad,https://www.thesun.co.uk/sport/24864026/arsenal-nuno-tavares-deletes-social-media-nottingham-forest/
18,NOT BRIGHT,Brighton star Joel Veltman left red-faced after throwing shirt into crowd,https://www.thesun.co.uk/sport/24864059/brighton-joel-veltman-nottingham-forest-premier-league/
19,GET IN,Watch Greenwood's wonder goal as fans spot he's netted exactly the same before,https://www.thesun.co.uk/sport/24866881/mason-greenwood-wonder-goal-getafe-man-utd-leicester/
20,,Alexander-Arnold could face FA disciplinary action after admission in interview,https://www.thesun.co.uk/sport/24859814/trent-alexander-arnold-fa-disciplinary/
21,'HE LOVES THEM',Messi's MLS exit 'a matter of time' with legend tipped for emotional move,https://www.thesun.co.uk/sport/24865622/lionel-messi-barcelona-transfer-return-sergio-aguero-inter-miami/
22,TO VICTOR-Y,Chelsea 'make Napoli's Osimhen top transfer target' and may shatter Prem record,https://www.thesun.co.uk/sport/24863378/chelsea-transfer-news-napoli-victor-osimhen-premier-league/
23,,Alex Scott stuns in all-white outfit after joining Jess Glynne on red carpet,https://www.thesun.co.uk/sport/24863737/alex-scott-jess-glynne-instagram-british-vogue-red-carpet/
24,'GUTTED',Former Premier League goalkeeper leaves first management job after just 33 days,https://www.thesun.co.uk/sport/24863461/paddy-kenny-goole-manager-quits/
25,VARD AS NAILS,Watch Jamie Vardy punch himself in the face during Leicester Vs Watford,https://www.thesun.co.uk/sport/24860878/jamie-vardy-punches-himself-leicester-watford/
26,TRE-MENDOUS,"Alexander-Arnold can become the best right-back EVER, claims Gary Neville",https://www.thesun.co.uk/sport/24865867/gary-neville-alexander-arnold-best-right-back-liverpool/
27,WELCOME OFFER,The Sun Play is BACK! Sign up now for the chance to win 500 free spins,https://www.thesun.co.uk/sport/24718401/sun-play-welcome-offer/
28,CAM WATCH,"AC Milan kid, 15, dubbed 'next Haaland' after becoming Serie A's youngest player",https://www.thesun.co.uk/sport/24859783/ac-milan-francesco-camarda-haaland-serie-a-youngest-player/
29,,Everton fans launch furious protest at Premier League after 10 point deduction,https://www.thesun.co.uk/sport/24861006/everton-10-point-deduction-protest-manchester-united/
30,EARLY DOORS,I burst onto scene with expensive cars and girls - it all happened too quickly,https://www.thesun.co.uk/sport/24865692/micah-richards-man-city-debut-retirement-cars-girls/
31,ROL UP,Win a gold Rolex or £27k cash alternative from 58p with our discount code,https://www.thesun.co.uk/sport/18922011/win-rolex-7dp/
32,RED ALERT,Liverpool could let wonderkid leave on loan with Championship side leading chase,https://www.thesun.co.uk/sport/24859582/liverpool-jarell-quansah-transfer-championship-preston/
33,MAN UTD RATINGS,"Garnacho writes name in history, Mainoo sparkles, but McTominay anonymous",https://www.thesun.co.uk/sport/24862933/man-utd-ratings-everton-alejandro-garnacho-mctominay/
34,CARN BELIEVE IT,Keane hailed for reaction to Spurs defeat - but fans distracted by Carney,https://www.thesun.co.uk/sport/24862618/roy-keane-tottenham-spursy-karen-carney-sky-sports/
35,PEPPED UP,Guardiola 'walks out of interview' with one-word answer after Nunez row question,https://www.thesun.co.uk/sport/24855825/pep-guardiola-walk-out-darwin-nunez/
36,FAMILY FORTUNES,Man Utd legend's grandson set to leave Stoke and sign for League Two side,https://www.thesun.co.uk/sport/24859159/man-utd-grandson-macari-stoke-transfer-notts-county/
37,GIMME MAUR,OnlyFans boxing star Astrid Wett meets Pochettino and claims he recognised her,https://www.thesun.co.uk/sport/24861036/astrid-wett-mauricio-pochettino-chelsea-boxing-photos/
38,CAF LUCK,Cafu explains brutal reason why Brazil won't win World Cup because of Prem,https://www.thesun.co.uk/sport/24863837/cafu-brazil-world-cup-premier-league/
39,BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
40,TOFF LUCK,Everton takeover bidders suffer blow as wealthy investors REJECT offer to join,https://www.thesun.co.uk/sport/24859296/everton-takeover-777-partners-investors-reject/
41,FATHER LIKE SON,"My dad is a Man Utd hero, I followed in his footsteps playing for 17 teams",https://www.thesun.co.uk/sport/24803835/man-utd-dad-teddy-sheringham-charlie-career/
42,STEW-PENDOUS,I'm a former Premier League and England star who was also a part-time DJ,https://www.thesun.co.uk/sport/24792793/stewart-downing-england-dj-ibiza-middlesbrough/
43,BLUE SUNDAY,Silva and James issue grovelling apologies to fans after Newcastle horror show,https://www.thesun.co.uk/sport/24862281/thiago-silva-reece-james-chelsea-apology-newcastle/
44,MAN UTD NEWS,"Ratcliffe latest, Garnacho reacts to WONDER GOAL, Ten Hag praises Fernandes",https://www.thesun.co.uk/sport/24408842/man-utd-takeover-news-live-garnacho-goal-ratcliffe-updates-ten-hag/
45,GUNNERS LATEST,"Osimhen battle, Premier League rivals ready bid for Ramsdale, Luiz TWIST",https://www.thesun.co.uk/sport/24268915/arsenal-news-live-ramsdale-osimhen-luiz-transfer-updates/
46,DOUG IN,Emery breaks silence on Luiz transfer with rivals 'plotting raid' in January,https://www.thesun.co.uk/sport/24862680/unai-emery-douglas-luiz-transfer-aston-villa/
47,TIM TO GO,Werner 'in line for Prem return' with RB Leipzig prepared to let flop leave,https://www.thesun.co.uk/sport/24862298/timo-werner-transfer-rb-leipzig-chelsea-fulham/
48,BATH TIME,Chelsea legend's daughter goes fully naked as she shares video filmed in bathroom,https://www.thesun.co.uk/sport/24853039/jade-lebouef-frank-instagram-chelsea/
49,SKY'S THE LIMIT,Sky Sports host shows off bra in risque open-jacket look fans love,https://www.thesun.co.uk/?p=24827496
